AAR,BYDEL,ALDER,CIVST,KOEN,PERSONER
2015,2,42,U,2,231
2015,2,43,E,2,2
2015,2,43,F,1,67
2015,2,43,F,2,99
2015,2,43,G,1,241
2015,2,43,G,2,232
2015,2,43,O,2,2
2015,2,43,P,1,4
2015,2,43,P,2,1
2015,2,43,U,1,214
2015,2,43,U,2,240
2015,2,44,E,2,4
2015,2,44,F,1,50
2015,2,44,F,2,83
2015,2,44,G,1,208
2015,2,44,G,2,213
2015,2,44,O,1,1
2015,2,44,P,1,2
2015,2,44,P,2,2
2015,2,44,U,1,206
2015,2,44,U,2,179
2015,2,45,E,2,2
2015,2,45,F,1,72
2015,2,45,F,2,93
2015,2,45,G,1,198
2015,2,45,G,2,199
2015,2,45,O,1,2
2015,2,45,O,2,2
2015,2,45,P,1,6
2015,2,45,P,2,3
2015,2,45,U,1,197
2015,2,45,U,2,183
2015,2,46,E,2,5
2015,2,46,F,1,67
2015,2,46,F,2,90
2015,2,46,G,1,246
2015,2,46,G,2,191
2015,2,46,L,1,1
2015,2,46,O,1,3
2015,2,46,O,2,1
2015,2,46,P,1,5
2015,2,46,P,2,3
2015,2,46,U,1,184
2015,2,46,U,2,187
2015,2,47,E,2,5
2015,2,47,F,1,70
2015,2,47,F,2,126
2015,2,47,G,1,213
2015,2,47,G,2,208
2015,2,47,L,1,1
2015,2,47,O,1,2
2015,2,47,O,2,1
2015,2,47,P,1,3
2015,2,47,P,2,3
2015,2,47,U,1,210
2015,2,47,U,2,202
2015,2,48,E,1,2
2015,2,48,E,2,5
2015,2,48,F,1,73
2015,2,48,F,2,102
2015,2,48,G,1,233
2015,2,48,G,2,222
2015,2,48,L,1,1
2015,2,48,O,1,3
2015,2,48,O,2,3
2015,2,48,P,1,5
2015,2,48,P,2,4
2015,2,48,U,1,199
2015,2,48,U,2,165
2015,2,49,E,2,4
2015,2,49,F,1,93
2015,2,49,F,2,98
2015,2,49,G,1,226
2015,2,49,G,2,222
